parc_gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,rngalg0_12,rngal12_24,rngal24_36,rngal36_48,logrg0_12,logrg12_24,logrg24_36,logrg36_48
555,6.026883235,4.332854804,3.697400175,3.322770011,6.026883235,4.332854804,3.697400175,3.322770011,6.12396221,4.389624184,3.750107147,3.366940469,0.097079,0.0567694,0.052707,0.0441705,0.0926512,0.0552165,0.0513649,0.0432228
556,2.880568142,2.436644886,1.903936999,1.775692629,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.039432,0.0333551,0.0260629,0.0243074,0.0386744,0.0328109,0.0257291,0.0240167
557,2.363456084,1.976354984,1.501294958,1.422674662,2.363456084,1.976354984,1.501294958,1.422674662,2.864446669,2.45718003,1.934273323,1.821366688,0.500991,0.480825,0.432978,0.398692,0.406126,0.392599,0.359755,0.335538
558,4.503952092,3.426710795,2.806727566,2.550200356,4.503952092,3.426710795,2.806727566,2.550200356,2.858263392,2.455753126,1.934748969,1.82374487,1.64569,0.970958,0.871979,0.726456,0.972932,0.67852,0.626996,0.546071
559,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
560,4.151720532,3.043161107,3.184609449,3.00790263,4.151720532,3.043161107,3.184609449,3.00790263,4.266650358,3.269573599,3.264025395,2.999360503,0.11493,0.226412,0.0794159,0.0085421,0.108792,0.204093,0.0764201,0.0085059
561,2.895338341,2.464308632,1.931896735,1.809484933,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0246618,0.0056914,0.0018968,0.0094849,0.0243626,0.0056752,0.001895,0.0094402
562,3.314389131,2.079617338,2.080836697,2.081007192,3.02,1.84,2.0999999,2.1700001,3.02,1.84,2.0999999,2.1700001,0.294389,0.239617,0.0191632,0.0889929,0.258039,0.214802,0.0189819,0.0852533
563,2.930222457,2.401397384,1.852190181,1.749088774,2.930222457,2.401397384,1.852190181,1.749088774,2.889721774,2.463012723,1.932329047,1.811645501,0.0405007,0.0616153,0.0801389,0.0625567,0.039702,0.0597916,0.0770896,0.060678
564,2.868314369,2.456903314,1.932573192,1.817976254,2.868314369,2.456903314,1.932573192,1.817976254,2.870182795,2.458503746,1.933832074,1.819160487,0.0018684,0.0016004,0.0012589,0.0011842,0.0018667,0.0015992,0.0012581,0.0011835
565,3.618851669,2.469613146,2.326539942,2.093687175,3.618851669,2.469613146,2.326539942,2.093687175,3.611156339,2.494831959,2.207290111,1.866218558,0.0076953,0.0252188,0.11925,0.227469,0.0076659,0.0249061,0.112659,0.204954
566,2.919993322,2.469998439,1.930000425,1.800002611,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0000068,0.0000016,0.0000005,0.0000026,0.0000068,0.0000016,0.0000005,0.0000026
567,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0,0,0,0,0,0,0,0
